722670,48303
724604,20129
725267,42121
724699,08014
724509,20079
724935,06001
726564,55093
702770,02122
723826,06029
702075,02290
723513,48485
701335,02188
702986,02122
725342,17101
702756,02261
722135,13005
702084,02158
702915,02261
722176,13077
722445,48041
722080,45035
726586,27091
726818,16065
722226,12113
725835,32015
722345,28075
727825,53017
726116,33009
725415,26025
722225,12033
724885,32001
723449,05007
726565,27149
724388,18039
725150,36007
723740,04017
725489,19167
723755,04005
726785,30093
724058,51191
724396,17001
727344,26033
722130,13299
725065,25005
722210,12091
723120,45083
703333,02164
702745,02170
722540,48453
723405,05119
723417,05069
727584,38001
723757,04005
722269,01045
722486,22073
726824,16037
722934,06073
745048,06007
722025,12099
702490,02170
722453,48245
725185,36113
725475,19105
722400,22019
722589,48121
726553,27023
725240,39035
723200,13115
726464,55055
725079,44005
726764,30031
726606,46019
724140,54039
702674,02290
722215,12091
723527,40045
723415,05051
725645,56001
725207,42129
740030,49045
724700,49007
723109,37165
725621,31101
725208,39065
724056,51173
724457,29169
723443,05007
726665,56043
723346,47113
742070,53053
724698,08121
726050,33013
726467,55005
725030,36081
912120,66010
743946,33011
725074,44009
702223,02180
722357,28001
726415,55105
727450,27137
702606,02170
702645,02068
727680,30105
725383,26149
724037,51059
722950,06037
722560,48309
727456,27017
725186,36089
747810,13185
725566,31089
727976,53073
723048,37039
724800,06027
724620,08003
743945,33015
723550,40031
723544,40109
725776,56039
722640,48377
726685,46129
724085,42101
722287,01121
746943,37139
702710,02261
725069,25001
701170,02180
724940,06081
743920,23005
722020,12086
747770,12091
725715,08107
726115,50027
724116,51155
726589,27047
725845,06061
723760,04005
726557,27041
722029,12086
724084,34025
703080,02016
724033,51177
723097,37133
722683,35027
723300,29023
725155,36109
722359,28015
726884,41061
722764,04001
722268,01045
724210,21015
725374,26161
747946,12009
724773,49015
725117,42125
722045,12061
722406,22109
723489,29201
725830,32013
725175,42063
723910,06111
722544,48453
725846,06057
722030,12099
725895,41035
726170,50007
722108,12071
724455,29001
745057,06037
722895,06083
724468,20091
725760,56013
725488,19065
726576,27023
722630,48451
746930,37051
744865,36103
725461,19127
702720,02020
725700,08081
727459,27137
726556,27127
725483,19111
744860,36081
725330,18003
725626,31029
724677,08051
726516,46055
725200,42003
723894,06051
723675,35039
725945,06023
722046,12009
701780,02290
724550,20061
724127,54025
724008,37083
727920,53067
723246,47001
702460,02290
722868,06065
724580,20029
724765,08085
722510,48355
722265,01101
702315,02290
722284,01081
724767,08083
744910,25013
724014,51053
723075,51810
726940,41047
723119,45045
723143,37125
703210,02070
726430,55063
725197,36065
722026,12086
723565,40113
702670,02240
726796,30001
722279,01083
725460,19153
702650,02090
725317,17029
723658,35045
703334,02164
701330,02188
702186,02158
725970,41029
722328,22007
727873,53065
726196,23019
703870,02275
722314,22045
722748,04021
724515,20055
725500,31055
722430,48201
722596,48439
724973,06007
724937,06085
785350,72037
722307,22075
722577,48027
724040,24037
725418,26115
725290,36055
703980,02198
727935,53033
724060,24003
744655,17089
725156,36015
724815,06047
724176,54061
725347,17097
722469,48349
724075,10003
725745,56007
703620,02230
723575,40031
722315,22071
702510,02170
723654,35028
724093,10005
723440,05131
725467,19071
726384,26165
723530,40109
725113,42017
725405,26057
726540,46005
911780,15003
725098,25021
726710,56035
727476,27077
722926,06073
724107,51035
724233,21073
723193,37067
726114,50015
702740,02170
722485,22015
725366,39173
722599,48113
723115,45075
722435,48201
724350,17199
723035,37051
702610,02090
724635,08025
726777,30025
702711,02050
722800,04027
726958,41041
725107,25027
727830,16069
724555,20161
722410,48245
727810,53077
725060,25001
702647,02068
726550,27141
727454,27031
723783,04005
725635,31045
724660,08041
724320,18163
723347,47045
747020,06031
724936,06013
722785,04013
722447,48471
725305,17043
725145,36105
722526,48283
725084,09015
